,Total,Date,Year,Gender,Domain,Title,MatchID,Name,Score
12370,Beavercreek 2276,2021-12-15,2021-2022,215,http://www.swblsports.com/,Southwestern Buckeye League,238407,Beavercreek,2276
12371, Franklin 1901,2021-12-15,2021-2022,215,http://www.swblsports.com/,Southwestern Buckeye League,238407, Franklin,1901
12372,Middletown Christian 1492,2021-12-16,2021-2022,215,http://www.swblsports.com/,Southwestern Buckeye League,221317,Middletown Christian,1492
12373, Valley View 1239,2021-12-16,2021-2022,215,http://www.swblsports.com/,Southwestern Buckeye League,221317, Valley View,1239
12374,Monroe 1721,2022-01-05,2021-2022,215,http://www.swblsports.com/,Southwestern Buckeye League,238898,Monroe,1721
12375, Middletown Christian 1616,2022-01-05,2021-2022,215,http://www.swblsports.com/,Southwestern Buckeye League,238898, Middletown Christian,1616
12376,Summit Country Day 2096,2022-01-05,2021-2022,215,http://www.swblsports.com/,Southwestern Buckeye League,238409,Summit Country Day,2096
12377, Franklin 1838,2022-01-05,2021-2022,215,http://www.swblsports.com/,Southwestern Buckeye League,238409, Franklin,1838
12378,Middletown 1745,2022-01-06,2021-2022,215,http://www.swblsports.com/,Southwestern Buckeye League,221383,Middletown,1745
12379, Valley View 1194,2022-01-06,2021-2022,215,http://www.swblsports.com/,Southwestern Buckeye League,221383, Valley View,1194
12380,Monroe 1586,2022-01-10,2021-2022,215,http://www.swblsports.com/,Southwestern Buckeye League,238900,Monroe,1586
12381, Middletown Christian 1483,2022-01-10,2021-2022,215,http://www.swblsports.com/,Southwestern Buckeye League,238900, Middletown Christian,1483
12382,Monroe 1744,2022-01-11,2021-2022,215,http://www.swblsports.com/,Southwestern Buckeye League,239537,Monroe,1744
12383, Cincinnati Christian 1584,2022-01-11,2021-2022,215,http://www.swblsports.com/,Southwestern Buckeye League,239537, Cincinnati Christian,1584
12384,Middletown 2137,2022-01-13,2021-2022,215,http://www.swblsports.com/,Southwestern Buckeye League,238411,Middletown,2137
12385, Franklin 1824,2022-01-13,2021-2022,215,http://www.swblsports.com/,Southwestern Buckeye League,238411, Franklin,1824
12386,Monroe 1431,2022-01-13,2021-2022,215,http://www.swblsports.com/,Southwestern Buckeye League,221455,Monroe,1431
12387, Valley View 1043,2022-01-13,2021-2022,215,http://www.swblsports.com/,Southwestern Buckeye League,221455, Valley View,1043
12388,Ross 2028,2022-01-18,2021-2022,215,http://www.swblsports.com/,Southwestern Buckeye League,238902,Ross,2028
12389, Monroe 1830,2022-01-18,2021-2022,215,http://www.swblsports.com/,Southwestern Buckeye League,238902, Monroe,1830
12390,Franklin 1482,2022-01-20,2021-2022,215,http://www.swblsports.com/,Southwestern Buckeye League,221510,Franklin,1482
12391, Valley View 848,2022-01-20,2021-2022,215,http://www.swblsports.com/,Southwestern Buckeye League,221510, Valley Vie, 848
12392,Monroe 1939,2022-01-26,2021-2022,215,http://www.swblsports.com/,Southwestern Buckeye League,238412,Monroe,1939
12393, Franklin 1815,2022-01-26,2021-2022,215,http://www.swblsports.com/,Southwestern Buckeye League,238412, Franklin,1815
12394,West Carrollton 821,2022-01-27,2021-2022,215,http://www.swblsports.com/,Southwestern Buckeye League,221564,West Carrollto, 821
12395, Valley View 670,2022-01-27,2021-2022,215,http://www.swblsports.com/,Southwestern Buckeye League,221564, Valley Vie, 670
12396,Monroe 1699,2022-01-29,2021-2022,215,http://www.swblsports.com/,Southwestern Buckeye League,238904,Monroe,1699
12397, Princeton 1608,2022-01-29,2021-2022,215,http://www.swblsports.com/,Southwestern Buckeye League,238904, Princeton,1608
12398,Springboro 1819,2022-01-31,2021-2022,215,http://www.swblsports.com/,Southwestern Buckeye League,238413,Springboro,1819
12399, Franklin 1602,2022-01-31,2021-2022,215,http://www.swblsports.com/,Southwestern Buckeye League,238413, Franklin,1602
12400,Monroe 1389,2022-02-01,2021-2022,215,http://www.swblsports.com/,Southwestern Buckeye League,221582,Monroe,1389
12401, Valley View 1105,2022-02-01,2021-2022,215,http://www.swblsports.com/,Southwestern Buckeye League,221582, Valley View,1105
12402,Carroll 2023,2022-02-02,2021-2022,215,http://www.swblsports.com/,Southwestern Buckeye League,221592,Carroll,2023
12403, Valley View 1269,2022-02-02,2021-2022,215,http://www.swblsports.com/,Southwestern Buckeye League,221592, Valley View,1269
12404,Monroe 1547,2022-02-07,2021-2022,215,http://www.swblsports.com/,Southwestern Buckeye League,240049,Monroe,1547
12405, West Carrollton 1478,2022-02-07,2021-2022,215,http://www.swblsports.com/,Southwestern Buckeye League,240049, West Carrollton,1478
12406,Dayton Christian 1307,2022-02-08,2021-2022,215,http://www.swblsports.com/,Southwestern Buckeye League,221622,Dayton Christian,1307
12407, Valley View 1027,2022-02-08,2021-2022,215,http://www.swblsports.com/,Southwestern Buckeye League,221622, Valley View,1027
12408,Franklin 1895,2022-02-08,2021-2022,215,http://www.swblsports.com/,Southwestern Buckeye League,238414,Franklin,1895
12409, Carroll 1881,2022-02-08,2021-2022,215,http://www.swblsports.com/,Southwestern Buckeye League,238414, Carroll,1881
12410,Franklin 1555,2022-02-09,2021-2022,215,http://www.swblsports.com/,Southwestern Buckeye League,221637,Franklin,1555
12411, Valley View 1182,2022-02-09,2021-2022,215,http://www.swblsports.com/,Southwestern Buckeye League,221637, Valley View,1182
12412,Middletown Christian 1397,2022-02-10,2021-2022,215,http://www.swblsports.com/,Southwestern Buckeye League,221639,Middletown Christian,1397
12413, Valley View 1190,2022-02-10,2021-2022,215,http://www.swblsports.com/,Southwestern Buckeye League,221639, Valley View,1190
12414,Springboro 1752,2022-02-10,2021-2022,215,http://www.swblsports.com/,Southwestern Buckeye League,238415,Springboro,1752
12415, Franklin 1711,2022-02-10,2021-2022,215,http://www.swblsports.com/,Southwestern Buckeye League,238415, Franklin,1711
12416,Monroe 1810,2022-02-12,2021-2022,215,http://www.swblsports.com/,Southwestern Buckeye League,238907,Monroe,1810
12417, Edgewood 1074,2022-02-12,2021-2022,215,http://www.swblsports.com/,Southwestern Buckeye League,238907, Edgewood,1074
12418,Middletown 1886,2022-02-14,2021-2022,215,http://www.swblsports.com/,Southwestern Buckeye League,238416,Middletown,1886
12419, Franklin 1743,2022-02-14,2021-2022,215,http://www.swblsports.com/,Southwestern Buckeye League,238416, Franklin,1743
12420,Carroll 2107,2022-02-15,2021-2022,215,http://www.swblsports.com/,Southwestern Buckeye League,238905,Carroll,2107
12421, Monroe 1831,2022-02-15,2021-2022,215,http://www.swblsports.com/,Southwestern Buckeye League,238905, Monroe,1831
12422,Miamisburg 2371,2018-11-20,2018-2019,137,http://www.swblsports.com/,Southwestern Buckeye League,127311,Miamisburg,2371
12423, Franklin 1801,2018-11-20,2018-2019,137,http://www.swblsports.com/,Southwestern Buckeye League,127311, Franklin,1801
12424,Springboro 2454,2018-11-26,2018-2019,137,http://www.swblsports.com/,Southwestern Buckeye League,127312,Springboro,2454
12425, Franklin 2420,2018-11-26,2018-2019,137,http://www.swblsports.com/,Southwestern Buckeye League,127312, Franklin,2420
12426,Lebanon 2544,2018-11-28,2018-2019,137,http://www.swblsports.com/,Southwestern Buckeye League,127313,Lebanon,2544
12427, Franklin 2083,2018-11-28,2018-2019,137,http://www.swblsports.com/,Southwestern Buckeye League,127313, Franklin,2083
12428,Valley View 2042,2018-12-05,2018-2019,137,http://www.swblsports.com/,Southwestern Buckeye League,127314,Valley View,2042
12429, Franklin 2020,2018-12-05,2018-2019,137,http://www.swblsports.com/,Southwestern Buckeye League,127314, Franklin,2020
12430,Franklin 1705,2018-12-10,2018-2019,137,http://www.swblsports.com/,Southwestern Buckeye League,127315,Franklin,1705
12431, Dunbar 1212,2018-12-10,2018-2019,137,http://www.swblsports.com/,Southwestern Buckeye League,127315, Dunbar,1212
12432,Beavercreek 2716,2018-12-12,2018-2019,137,http://www.swblsports.com/,Southwestern Buckeye League,127316,Beavercreek,2716
12433, Franklin 2155,2018-12-12,2018-2019,137,http://www.swblsports.com/,Southwestern Buckeye League,127316, Franklin,2155
12434,Monroe 1389,2018-12-19,2018-2019,137,http://www.swblsports.com/,Southwestern Buckeye League,127318,Monroe,1389
12435, Franklin 1346,2018-12-19,2018-2019,137,http://www.swblsports.com/,Southwestern Buckeye League,127318, Franklin,1346
12436,Franklin 1713,2019-01-07,2018-2019,137,http://www.swblsports.com/,Southwestern Buckeye League,130394,Franklin,1713
12437, Valley View 1438,2019-01-07,2018-2019,137,http://www.swblsports.com/,Southwestern Buckeye League,130394, Valley View,1438
12438,Franklin 2108,2019-01-09,2018-2019,137,http://www.swblsports.com/,Southwestern Buckeye League,127319,Franklin,2108
12439, Monroe 1929,2019-01-09,2018-2019,137,http://www.swblsports.com/,Southwestern Buckeye League,127319, Monroe,1929
12440,Franklin 2153,2019-01-14,2018-2019,137,http://www.swblsports.com/,Southwestern Buckeye League,127320,Franklin,2153
12441, Fenwick 2083,2019-01-14,2018-2019,137,http://www.swblsports.com/,Southwestern Buckeye League,127320, Fenwick,2083
12442,Beavercreek 2393,2019-01-17,2018-2019,137,http://www.swblsports.com/,Southwestern Buckeye League,127321,Beavercreek,2393
12443, Franklin 1927,2019-01-17,2018-2019,137,http://www.swblsports.com/,Southwestern Buckeye League,127321, Franklin,1927
12444,Carroll 2381,2019-01-23,2018-2019,137,http://www.swblsports.com/,Southwestern Buckeye League,127324,Carroll,2381
12445, Franklin 2200,2019-01-23,2018-2019,137,http://www.swblsports.com/,Southwestern Buckeye League,127324, Franklin,2200
12446,Middletown 2082,2019-01-28,2018-2019,137,http://www.swblsports.com/,Southwestern Buckeye League,127325,Middletown,2082
12447, Franklin 1939,2019-01-28,2018-2019,137,http://www.swblsports.com/,Southwestern Buckeye League,127325, Franklin,1939
12448,Carroll 2133,2019-02-04,2018-2019,137,http://www.swblsports.com/,Southwestern Buckeye League,127326,Carroll,2133
12449, Franklin 2027,2019-02-04,2018-2019,137,http://www.swblsports.com/,Southwestern Buckeye League,127326, Franklin,2027
12450,Springboro 2432,2019-02-07,2018-2019,137,http://www.swblsports.com/,Southwestern Buckeye League,127327,Springboro,2432
12451, Franklin 2150,2019-02-07,2018-2019,137,http://www.swblsports.com/,Southwestern Buckeye League,127327, Franklin,2150
12452,Miamisburg 2308,2019-02-11,2018-2019,137,http://www.swblsports.com/,Southwestern Buckeye League,127328,Miamisburg,2308
12453, Franklin 2106,2019-02-11,2018-2019,137,http://www.swblsports.com/,Southwestern Buckeye League,127328, Franklin,2106
12454,Little Miami 1939,2019-02-13,2018-2019,137,http://www.swblsports.com/,Southwestern Buckeye League,132740,Little Miami,1939
12455, Franklin 1695,2019-02-13,2018-2019,137,http://www.swblsports.com/,Southwestern Buckeye League,132740, Franklin,1695
12456,Monroe 2679,2019-11-18,2019-2020,137,http://www.swblsports.com/,Southwestern Buckeye League,147876,Monroe,2679
12457, Middletown Christian 2247,2019-11-18,2019-2020,137,http://www.swblsports.com/,Southwestern Buckeye League,147876, Middletown Christian,2247
12458,Franklin 1780,2019-11-18,2019-2020,137,http://www.swblsports.com/,Southwestern Buckeye League,143479,Franklin,1780
12459, Trotwood 1500,2019-11-18,2019-2020,137,http://www.swblsports.com/,Southwestern Buckeye League,143479, Trotwood,1500
12460,Alter 2280,2019-11-19,2019-2020,137,http://www.swblsports.com/,Southwestern Buckeye League,142537,Alter,2280
12461, Valley View 2073,2019-11-19,2019-2020,137,http://www.swblsports.com/,Southwestern Buckeye League,142537, Valley View,2073
12462,Franklin 2455,2019-11-20,2019-2020,137,http://www.swblsports.com/,Southwestern Buckeye League,143480,Franklin,2455
12463, Little Miami 2347,2019-11-20,2019-2020,137,http://www.swblsports.com/,Southwestern Buckeye League,143480, Little Miami,2347
12464,Springboro 2396,2019-11-21,2019-2020,137,http://www.swblsports.com/,Southwestern Buckeye League,143481,Springboro,2396
12465, Franklin 2047,2019-11-21,2019-2020,137,http://www.swblsports.com/,Southwestern Buckeye League,143481, Franklin,2047
12466,Fenwick 1837,2019-11-21,2019-2020,137,http://www.swblsports.com/,Southwestern Buckeye League,142538,Fenwick,1837
12467, Valley View 1818,2019-11-21,2019-2020,137,http://www.swblsports.com/,Southwestern Buckeye League,142538, Valley View,1818
12468,Monroe 2336,2019-11-25,2019-2020,137,http://www.swblsports.com/,Southwestern Buckeye League,143482,Monroe,2336
12469, Franklin 2290,2019-11-25,2019-2020,137,http://www.swblsports.com/,Southwestern Buckeye League,143482, Franklin,2290
12470,Newton 2192,2019-11-25,2019-2020,137,http://www.swblsports.com/,Southwestern Buckeye League,142539,Newton,2192
12471, Valley View 1949,2019-11-25,2019-2020,137,http://www.swblsports.com/,Southwestern Buckeye League,142539, Valley View,1949
12472,Ross 2657,2019-11-26,2019-2020,137,http://www.swblsports.com/,Southwestern Buckeye League,147877,Ross,2657
12473, Monroe 2504,2019-11-26,2019-2020,137,http://www.swblsports.com/,Southwestern Buckeye League,147877, Monroe,2504
12474,Valley View 1865,2019-12-03,2019-2020,137,http://www.swblsports.com/,Southwestern Buckeye League,142540,Valley View,1865
12475, Miami Valley 1473,2019-12-03,2019-2020,137,http://www.swblsports.com/,Southwestern Buckeye League,142540, Miami Valley,1473
12476,Monroe 2389,2019-12-04,2019-2020,137,http://www.swblsports.com/,Southwestern Buckeye League,147878,Monroe,2389
12477, Princeton 2075,2019-12-04,2019-2020,137,http://www.swblsports.com/,Southwestern Buckeye League,147878, Princeton,2075
12478,Middletown 2328,2019-12-05,2019-2020,137,http://www.swblsports.com/,Southwestern Buckeye League,142541,Middletown,2328
12479, Valley View 2190,2019-12-05,2019-2020,137,http://www.swblsports.com/,Southwestern Buckeye League,142541, Valley View,2190
12480,Monroe 2571,2019-12-07,2019-2020,137,http://www.swblsports.com/,Southwestern Buckeye League,147891,Monroe,2571
12481, Norwood 1751,2019-12-07,2019-2020,137,http://www.swblsports.com/,Southwestern Buckeye League,147891, Norwood,1751
12482,Carroll 2296,2019-12-09,2019-2020,137,http://www.swblsports.com/,Southwestern Buckeye League,143484,Carroll,2296
12483, Franklin 2022,2019-12-09,2019-2020,137,http://www.swblsports.com/,Southwestern Buckeye League,143484, Franklin,2022
12484,Monroe 2104,2019-12-09,2019-2020,137,http://www.swblsports.com/,Southwestern Buckeye League,142563,Monroe,2104
12485, Valley View 1853,2019-12-09,2019-2020,137,http://www.swblsports.com/,Southwestern Buckeye League,142563, Valley View,1853
12486,Valley View 2046,2019-12-10,2019-2020,137,http://www.swblsports.com/,Southwestern Buckeye League,142542,Valley View,2046
12487, Middletown Christian 1992,2019-12-10,2019-2020,137,http://www.swblsports.com/,Southwestern Buckeye League,142542, Middletown Christian,1992
12488,Middletown 2730,2019-12-11,2019-2020,137,http://www.swblsports.com/,Southwestern Buckeye League,143485,Middletown,2730
12489, Franklin 2208,2019-12-11,2019-2020,137,http://www.swblsports.com/,Southwestern Buckeye League,143485, Franklin,2208
12490,Monroe 2743,2019-12-17,2019-2020,137,http://www.swblsports.com/,Southwestern Buckeye League,147879,Monroe,2743
12491, Edgewood 1723,2019-12-17,2019-2020,137,http://www.swblsports.com/,Southwestern Buckeye League,147879, Edgewood,1723
12492,Miamisburg 2303,2019-12-17,2019-2020,137,http://www.swblsports.com/,Southwestern Buckeye League,143487,Miamisburg,2303
12493, Franklin 1959,2019-12-17,2019-2020,137,http://www.swblsports.com/,Southwestern Buckeye League,143487, Franklin,1959
12494,Alter 2189,2019-12-17,2019-2020,137,http://www.swblsports.com/,Southwestern Buckeye League,142543,Alter,2189
12495, Valley View 2121,2019-12-17,2019-2020,137,http://www.swblsports.com/,Southwestern Buckeye League,142543, Valley View,2121
12496,Valley View 1926,2019-12-18,2019-2020,137,http://www.swblsports.com/,Southwestern Buckeye League,142544,Valley View,1926
12497, East Clinton 1670,2019-12-18,2019-2020,137,http://www.swblsports.com/,Southwestern Buckeye League,142544, East Clinton,1670
12498,Monroe 2527,2019-12-19,2019-2020,137,http://www.swblsports.com/,Southwestern Buckeye League,147880,Monroe,2527
12499, Lakota West 2440,2019-12-19,2019-2020,137,http://www.swblsports.com/,Southwestern Buckeye League,147880, Lakota West,2440
12500,Monroe 2555,2020-01-06,2019-2020,137,http://www.swblsports.com/,Southwestern Buckeye League,147882,Monroe,2555
12501, Reading 2456,2020-01-06,2019-2020,137,http://www.swblsports.com/,Southwestern Buckeye League,147882, Reading,2456
12502,Greeneview 2254,2020-01-06,2019-2020,137,http://www.swblsports.com/,Southwestern Buckeye League,142549,Greeneview,2254
12503, Valley View 2202,2020-01-06,2019-2020,137,http://www.swblsports.com/,Southwestern Buckeye League,142549, Valley View,2202
12504,Valley View 2036,2020-01-07,2019-2020,137,http://www.swblsports.com/,Southwestern Buckeye League,142547,Valley View,2036
12505, Miami Valley 1872,2020-01-07,2019-2020,137,http://www.swblsports.com/,Southwestern Buckeye League,142547, Miami Valley,1872
12506,Franklin 1988,2020-01-08,2019-2020,137,http://www.swblsports.com/,Southwestern Buckeye League,143488,Franklin,1988
12507, Middletown Christian 1833,2020-01-08,2019-2020,137,http://www.swblsports.com/,Southwestern Buckeye League,143488, Middletown Christian,1833
12508,Tippecanoe 2048,2020-01-08,2019-2020,137,http://www.swblsports.com/,Southwestern Buckeye League,142548,Tippecanoe,2048
12509, Valley View 1955,2020-01-08,2019-2020,137,http://www.swblsports.com/,Southwestern Buckeye League,142548, Valley View,1955
12510,Monroe 2510,2020-01-13,2019-2020,137,http://www.swblsports.com/,Southwestern Buckeye League,147884,Monroe,2510
12511, New Miami 1654,2020-01-13,2019-2020,137,http://www.swblsports.com/,Southwestern Buckeye League,147884, New Miami,1654
12512,Newton 2001,2020-01-14,2019-2020,137,http://www.swblsports.com/,Southwestern Buckeye League,142550,Newton,2001
12513, Valley View 1928,2020-01-14,2019-2020,137,http://www.swblsports.com/,Southwestern Buckeye League,142550, Valley View,1928
12514,Miamisburg 2525,2020-01-15,2019-2020,137,http://www.swblsports.com/,Southwestern Buckeye League,143489,Miamisburg,2525
12515, Franklin 2412,2020-01-15,2019-2020,137,http://www.swblsports.com/,Southwestern Buckeye League,143489, Franklin,2412
12516,Monroe 2306,2020-01-16,2019-2020,137,http://www.swblsports.com/,Southwestern Buckeye League,142551,Monroe,2306
12517, Valley View 2179,2020-01-16,2019-2020,137,http://www.swblsports.com/,Southwestern Buckeye League,142551, Valley View,2179
12518,Valley View 1945,2020-01-21,2019-2020,137,http://www.swblsports.com/,Southwestern Buckeye League,142553,Valley View,1945
12519, East Clinton 1512,2020-01-21,2019-2020,137,http://www.swblsports.com/,Southwestern Buckeye League,142553, East Clinton,1512
12520,Beavercreeck 2716,2020-01-22,2019-2020,137,http://www.swblsports.com/,Southwestern Buckeye League,143491,Beavercreeck,2716
12521, Franklin 2172,2020-01-22,2019-2020,137,http://www.swblsports.com/,Southwestern Buckeye League,143491, Franklin,2172
12522,Monroe 2834,2020-01-22,2019-2020,137,http://www.swblsports.com/,Southwestern Buckeye League,147885,Monroe,2834
12523, Cincinnati Christian 2150,2020-01-22,2019-2020,137,http://www.swblsports.com/,Southwestern Buckeye League,147885, Cincinnati Christian,2150
12524,Franklin 1850,2020-01-27,2019-2020,137,http://www.swblsports.com/,Southwestern Buckeye League,143493,Franklin,1850
12525, Winton Woods 1625,2020-01-27,2019-2020,137,http://www.swblsports.com/,Southwestern Buckeye League,143493, Winton Woods,1625
12526,Middletown Christian 1964,2020-01-28,2019-2020,137,http://www.swblsports.com/,Southwestern Buckeye League,142554,Middletown Christian,1964
12527, Valley View 1822,2020-01-28,2019-2020,137,http://www.swblsports.com/,Southwestern Buckeye League,142554, Valley View,1822
12528,Monroe 2588,2020-01-29,2019-2020,137,http://www.swblsports.com/,Southwestern Buckeye League,147886,Monroe,2588
12529, New Miami 1205,2020-01-29,2019-2020,137,http://www.swblsports.com/,Southwestern Buckeye League,147886, New Miami,1205
12530,Valley View 2190,2020-01-30,2019-2020,137,http://www.swblsports.com/,Southwestern Buckeye League,142555,Valley View,2190
12531, West Carrollton 1622,2020-01-30,2019-2020,137,http://www.swblsports.com/,Southwestern Buckeye League,142555, West Carrollton,1622
12532,Monroe 2532,2020-02-01,2019-2020,137,http://www.swblsports.com/,Southwestern Buckeye League,148374,Monroe,2532
12533, Ross 2402,2020-02-01,2019-2020,137,http://www.swblsports.com/,Southwestern Buckeye League,148374, Ross,2402
12534,Franklin 2322,2020-02-03,2019-2020,137,http://www.swblsports.com/,Southwestern Buckeye League,143494,Franklin,2322
12535, Springboro 2239,2020-02-03,2019-2020,137,http://www.swblsports.com/,Southwestern Buckeye League,143494, Springboro,2239
12536,Monroe 2539,2020-02-05,2019-2020,137,http://www.swblsports.com/,Southwestern Buckeye League,147887,Monroe,2539
12537, Bishop Fenwick 2486,2020-02-05,2019-2020,137,http://www.swblsports.com/,Southwestern Buckeye League,147887, Bishop Fenwick,2486
12538,Franklin 2258,2020-02-05,2019-2020,137,http://www.swblsports.com/,Southwestern Buckeye League,142560,Franklin,2258
12539, Valley View 2199,2020-02-05,2019-2020,137,http://www.swblsports.com/,Southwestern Buckeye League,142560, Valley View,2199
12540,Monroe 2714,2020-02-08,2019-2020,137,http://www.swblsports.com/,Southwestern Buckeye League,147888,Monroe,2714
12541, Reading 1610,2020-02-08,2019-2020,137,http://www.swblsports.com/,Southwestern Buckeye League,147888, Reading,1610
12542,Middletown Christian 2504,2020-02-10,2019-2020,137,http://www.swblsports.com/,Southwestern Buckeye League,147889,Middletown Christian,2504
12543, Monroe 2185,2020-02-10,2019-2020,137,http://www.swblsports.com/,Southwestern Buckeye League,147889, Monroe,2185
12544,Franklin 2179,2020-02-10,2019-2020,137,http://www.swblsports.com/,Southwestern Buckeye League,147734,Franklin,2179
12545, Valley View 1972,2020-02-10,2019-2020,137,http://www.swblsports.com/,Southwestern Buckeye League,147734, Valley View,1972
12546,Carroll 2520,2020-02-11,2019-2020,137,http://www.swblsports.com/,Southwestern Buckeye League,143495,Carroll,2520
12547, Franklin 2456,2020-02-11,2019-2020,137,http://www.swblsports.com/,Southwestern Buckeye League,143495, Franklin,2456
12548,Monroe 2537,2020-02-12,2019-2020,137,http://www.swblsports.com/,Southwestern Buckeye League,147890,Monroe,2537
12549, Loveland 2397,2020-02-12,2019-2020,137,http://www.swblsports.com/,Southwestern Buckeye League,147890, Loveland,2397
12550,Beavercreeck 2513,2020-02-13,2019-2020,137,http://www.swblsports.com/,Southwestern Buckeye League,143496,Beavercreeck,2513
12551, Franklin 2125,2020-02-13,2019-2020,137,http://www.swblsports.com/,Southwestern Buckeye League,143496, Franklin,2125
12552,Monroe 2021,2020-11-16,2020-2021,137,http://www.swblsports.com/,Southwestern Buckeye League,162809,Monroe,2021
12553, Franklin 1952,2020-11-16,2020-2021,137,http://www.swblsports.com/,Southwestern Buckeye League,162809, Franklin,1952
12554,Alter 2413,2020-11-17,2020-2021,137,http://www.swblsports.com/,Southwestern Buckeye League,162924,Alter,2413
12555, Valley View 2288,2020-11-17,2020-2021,137,http://www.swblsports.com/,Southwestern Buckeye League,162924, Valley View,2288
12556,Valley View 1907,2020-11-19,2020-2021,137,http://www.swblsports.com/,Southwestern Buckeye League,162925,Valley View,1907
12557, Newton 1865,2020-11-19,2020-2021,137,http://www.swblsports.com/,Southwestern Buckeye League,162925, Newton,1865
12558,Ross 2211,2020-11-19,2020-2021,137,http://www.swblsports.com/,Southwestern Buckeye League,164098,Ross,2211
12559, Monroe 1943,2020-11-19,2020-2021,137,http://www.swblsports.com/,Southwestern Buckeye League,164098, Monroe,1943
12560,Lebanon 2144,2020-11-24,2020-2021,137,http://www.swblsports.com/,Southwestern Buckeye League,163839,Lebanon,2144
12561, Franklin 1663,2020-11-24,2020-2021,137,http://www.swblsports.com/,Southwestern Buckeye League,163839, Franklin,1663
12562,Valley View 1981,2020-11-30,2020-2021,137,http://www.swblsports.com/,Southwestern Buckeye League,163871,Valley View,1981
12563, Newton 1749,2020-11-30,2020-2021,137,http://www.swblsports.com/,Southwestern Buckeye League,163871, Newton,1749
12564,Valley View 1923,2020-12-01,2020-2021,137,http://www.swblsports.com/,Southwestern Buckeye League,162926,Valley View,1923
12565, Legacy Christian 1764,2020-12-01,2020-2021,137,http://www.swblsports.com/,Southwestern Buckeye League,162926, Legacy Christian,1764
12566,Carroll 2526,2020-12-02,2020-2021,137,http://www.swblsports.com/,Southwestern Buckeye League,164095,Carroll,2526
12567, Franklin 2294,2020-12-02,2020-2021,137,http://www.swblsports.com/,Southwestern Buckeye League,164095, Franklin,2294
12568,Monroe 2209,2020-12-02,2020-2021,137,http://www.swblsports.com/,Southwestern Buckeye League,164099,Monroe,2209
12569, Dayton Christian 1349,2020-12-02,2020-2021,137,http://www.swblsports.com/,Southwestern Buckeye League,164099, Dayton Christian,1349
12570,Miamisburg 2320,2020-12-03,2020-2021,137,http://www.swblsports.com/,Southwestern Buckeye League,164101,Miamisburg,2320
12571, Monroe 2154,2020-12-03,2020-2021,137,http://www.swblsports.com/,Southwestern Buckeye League,164101, Monroe,2154
12572,East Clinton 2015,2020-12-08,2020-2021,137,http://www.swblsports.com/,Southwestern Buckeye League,162930,East Clinton,2015
12573, Valley View 1785,2020-12-08,2020-2021,137,http://www.swblsports.com/,Southwestern Buckeye League,162930, Valley View,1785
12574,Franklin 1911,2020-12-08,2020-2021,137,http://www.swblsports.com/,Southwestern Buckeye League,164205,Franklin,1911
12575, Summit Country Day 1297,2020-12-08,2020-2021,137,http://www.swblsports.com/,Southwestern Buckeye League,164205, Summit Country Day,1297
12576,Chaminade Julienne 2031,2020-12-09,2020-2021,137,http://www.swblsports.com/,Southwestern Buckeye League,164230,Chaminade Julienne,2031
12577, Franklin 1897,2020-12-09,2020-2021,137,http://www.swblsports.com/,Southwestern Buckeye League,164230, Franklin,1897
12578,Monroe 2537,2020-12-09,2020-2021,137,http://www.swblsports.com/,Southwestern Buckeye League,164102,Monroe,2537
12579, Carroll 2515,2020-12-09,2020-2021,137,http://www.swblsports.com/,Southwestern Buckeye League,164102, Carroll,2515
12580,Monroe 2363,2020-12-14,2020-2021,137,http://www.swblsports.com/,Southwestern Buckeye League,162928,Monroe,2363
12581, Valley View 2162,2020-12-14,2020-2021,137,http://www.swblsports.com/,Southwestern Buckeye League,162928, Valley View,2162
12582,Monroe 2147,2020-12-17,2020-2021,137,http://www.swblsports.com/,Southwestern Buckeye League,164103,Monroe,2147
12583, Franklin 2030,2020-12-17,2020-2021,137,http://www.swblsports.com/,Southwestern Buckeye League,164103, Franklin,2030
12584,Middletown Christian 2028,2020-12-17,2020-2021,137,http://www.swblsports.com/,Southwestern Buckeye League,162929,Middletown Christian,2028
12585, Valley View 2011,2020-12-17,2020-2021,137,http://www.swblsports.com/,Southwestern Buckeye League,162929, Valley View,2011
12586,Valley View 2148,2020-12-28,2020-2021,137,http://www.swblsports.com/,Southwestern Buckeye League,162931,Valley View,2148
12587, East Clinton 2104,2020-12-28,2020-2021,137,http://www.swblsports.com/,Southwestern Buckeye League,162931, East Clinton,2104
12588,Franklin 2103,2021-01-11,2020-2021,137,http://www.swblsports.com/,Southwestern Buckeye League,162934,Franklin,2103
12589, Valley View 1850,2021-01-11,2020-2021,137,http://www.swblsports.com/,Southwestern Buckeye League,162934, Valley View,1850
12590,Monroe 1996,2021-01-12,2020-2021,137,http://www.swblsports.com/,Southwestern Buckeye League,162935,Monroe,1996
12591, Valley View 1764,2021-01-12,2020-2021,137,http://www.swblsports.com/,Southwestern Buckeye League,162935, Valley View,1764
12592,Franklin 2227,2021-01-12,2020-2021,137,http://www.swblsports.com/,Southwestern Buckeye League,165145,Franklin,2227
12593, Kings 2211,2021-01-12,2020-2021,137,http://www.swblsports.com/,Southwestern Buckeye League,165145, Kings,2211
12594,Beavercreek 3096,2021-01-13,2020-2021,137,http://www.swblsports.com/,Southwestern Buckeye League,165146,Beavercreek,3096
